Name,Transaction Date,Owner,Ticker,Asset Name,Asset Type,Type,Amount,Comment
"The Honorable Michael F Bennet (Bennet, Michael)",04/26/2023,Self,--,"More
Company: More  (Ebene, Muritius (India))
Description: Grocery Chain",Other,Purchase,"$15,001 - $50,000",--
"The Honorable Michael F Bennet (Bennet, Michael)",03/01/2019,Self,--,"More
Company: More  (Ebene, Muritius (India))
Description: Grocery Chain",Other,Purchase,"$100,001 - $250,000",Underlying asset of Madeira Capital Investments Limited
"The Honorable Michael F Bennet (Bennet, Michael)",11/01/2017,Self,"LVLT
CTL","Level 3 Communications, Inc. (Exchanged)
CenturyLink, Inc. (Received)",Stock,Exchange,"$50,001 - $100,000",Shares of CTL received as a result of merger.
"The Honorable Michael F Bennet (Bennet, Michael)",12/08/2017,Self,RGC,Regal Entertainment Group,Stock,Sale (Full),"$500,001 - $1,000,000",--
"The Honorable Michael F Bennet (Bennet, Michael)",03/28/2017,Self,RGC,Regal Entertainment Group,Stock,Sale (Partial),"$500,001 - $1,000,000",--
"The Honorable Michael F Bennet (Bennet, Michael)",01/25/2017,Self,--,"Continuum Real Estate Investors 2016, LLC
Company: Continuum Real Estate Investors 2016, LLC  (Denver , CO)
Description: Private Equity",Other,Purchase,"$250,001 - $500,000",--
"The Honorable Michael F Bennet (Bennet, Michael)",03/30/2020,Self,--,"CP Kent Place Member LLC
Company: CP Kent Place Member LLC  (Denver, CO)
Description: Holding Company",Other,Purchase,"$100,001 - $250,000",Underlying asset - Commercial Real Estate
"The Honorable Michael F Bennet (Bennet, Michael)",10/04/2022,Self,--,"More
Company: More  (Ebene, Muritius (India))
Description: Grocery Chain",Other,Purchase,"$1,001 - $15,000",Underlying asset of Madeira Capital Investments Limited
"The Honorable Michael F Bennet (Bennet, Michael)",07/01/2021,Self,--,"Oakcliff Capital Partners, LP
Company: Oakcliff Capital Partners, LP  (New York, NY)
Description: Investment Fund",Other,Purchase,"$500,001 - $1,000,000",--
"The Honorable Michael F Bennet (Bennet, Michael)",08/27/2020,Self,--,"More
Company: More  (Ebene, Muritius (India))
Description: Grocery Chain",Other,Purchase,"$1,001 - $15,000",Underlying asset of Madeira Capital Investments Limited
"The Honorable John A Barrasso (Barrasso, John)",05/01/2018,Self,--,"Undeveloped Land-TOPOL
Company: Wyoming Orthopaedics Institute, LLC  (Casper, WY)
Description: Real Estate Partnership",Other,Sale (Full),"$50,001 - $100,000",--
"The Honorable James Banks (Banks, James E.)",02/18/2025,Joint,YUM,"Yum! Brands
Company: Yum  (Louisville, KY)
Description: Food",Other,Sale (Full),"$1,001 - $15,000",--
"The Honorable James Banks (Banks, James E.)",08/04/2025,Self,--,starbuck,Stock,Purchase,"$1,001 - $15,000",--
"The Honorable James Banks (Banks, James E.)",06/16/2025,Joint,--,RBLX,Stock,Sale (Full),"$1,001 - $15,000",--
